"problem_id","solution_id"
"P_6a8725db","413"
"P_7cac6825","193"
"P_0bf0da11","778"
"P_4c514279","663"
"P_d538033f","707"
"P_8c2a60e3","884"
"P_a3ca8394","788"
"P_a4fd5725","889"
"P_f1462b71","485"
"P_660f83f2","648"
"P_d4214cfe","173"
"P_fd346c50","904"
"P_ee9ddea4","690"
"P_4fdf9fad","392"
"P_d030ca87","385"
"P_f6308596","472"
"P_26ed8702","121"
"P_156f0668","862"
"P_9b2518be","505"
"P_95fb6cc3","646"
"P_334f7562","319"
"P_5e161e07","137"
"P_e09a7a61","637"
"P_c8ba5ead","769"
"P_3414890e","827"
"P_4a614fa5","616"
"P_0f76ed21","678"
"P_3735973d","806"
"P_edadb429","448"
"P_9d210e31","877"
"P_fc78b59f","507"
"P_346df98c","789"
"P_71ba98f1","628"
"P_d6c3a7a1","351"
"P_15a68d68","561"
"P_cfd92256","342"
"P_1e17c4ef","592"
"P_d2b9edf7","481"
"P_5959b3fe","44"
"P_f9c002e8","22"
"P_b315aefa","224"
"P_36a4f502","231"
"P_aa0fa687","604"
"P_35f289be","523"
"P_7068554e","561"
"P_fd55912d","900"
"P_22706ceb","305"
"P_21a39250","416"
"P_bc85d5a6","809"
"P_e5162135","757"
"P_b0bb16c5","915"
"P_f86ce45f","208"
"P_8c47e3da","181"
"P_dd406a14","603"
"P_65cf1bed","964"
"P_0cbb5021","888"
"P_4913befc","99"
"P_90393450","332"
"P_dfd11e09","114"
"P_4a9ddc77","867"
"P_3a383ad5","879"
"P_2ddf8dfe","229"
"P_7e87e139","630"
"P_19b1cdd4","422"
"P_01ba8a3e","540"
"P_ac26e937","503"
"P_73883383","834"
"P_70dc9f35","904"
"P_4e05cf37","918"
"P_449abd06","663"
"P_dd33e23d","240"
"P_6f520158","231"
"P_16782446","268"
"P_9c3ee8ee","973"
"P_4fd64361","214"
"P_97629548","637"
"P_69bc0087","954"
"P_7abc92bd","123"
"P_326102ba","228"
"P_67c1c34a","374"
"P_8a861914","376"
"P_70a84eb3","287"
"P_e57f2680","958"
"P_bedc27dc","983"
"P_b5142243","105"
"P_5775c159","768"
"P_e183d951","465"
"P_0cbcddf9","275"
"P_9fd91b47","3"
"P_d7e4939a","175"
"P_47495b84","648"
"P_d7089519","314"
"P_41ed1571","215"
"P_adbacbd8","102"
"P_63ba612a","245"
"P_347c9af7","106"
"P_06d1b48e","636"
"P_d015b342","762"
"P_5de451b1","693"
"P_70d3d159","838"
"P_89d0dc43","76"
"P_7709a581","721"
"P_8b2c07d5","903"
"P_645eafb3","845"
"P_5e820b26","927"
"P_3b456048","870"
"P_6ae67d09","150"
"P_4bf31618","288"
"P_1c6ee9c3","973"
"P_77f52418","388"
"P_034a5847","921"
"P_85612005","11"
"P_a611d246","266"
"P_f3ce6323","568"
"P_a12c6258","282"
"P_863a76b1","560"
"P_b05ac0cd","308"
"P_1e74e72d","992"
"P_adf5a9fb","875"
"P_c5cf3274","57"
"P_1ea39fc1","184"
"P_b7058c32","993"
"P_e88024b4","630"
"P_553fa999","737"
"P_ffafe642","989"
"P_6e6ddc26","824"
"P_c26d22de","278"
"P_96c43883","592"
"P_1f69edff","447"
"P_32ad8a28","711"
"P_81d9f9bc","237"
"P_0f04f199","108"
"P_9c4b19d3","195"
"P_257d863d","561"
"P_00aa509a","871"
"P_7cc5c179","140"
"P_c9772b1f","749"
"P_0c6d8073","275"
"P_61e17a69","829"
"P_55c2b2ba","779"
"P_5a401d12","233"
"P_a8ef7bce","750"
"P_479271f7","388"
"P_a62de441","818"
"P_10711ece","945"
"P_f2186b5a","495"
"P_3944b169","371"
"P_23930213","905"
"P_a793ec5b","681"
"P_9dac9148","80"
"P_975b94fe","686"
"P_4b69196f","164"
"P_e1dea31c","7"
"P_a88ec3b7","295"
"P_42792b2a","529"
"P_ddf4c6f6","985"
"P_68182ede","53"
"P_aa29240b","551"
"P_6ed549cf","957"
"P_1ea09057","456"
"P_526e48e2","96"
"P_51335fa1","883"
"P_4bbf37b3","271"
"P_e7dedc81","834"
"P_f294f3d4","816"
"P_f43a1cbf","247"
"P_4bbd7b43","787"
"P_3992b5c2","462"
"P_3f7d08ae","678"
"P_0cb094ac","858"
"P_f7574903","488"
"P_e5129832","826"
"P_002f22c1","732"
"P_60eb98cd","151"
"P_99671995","897"
"P_296f1bac","258"
"P_0e867827","965"
"P_94709f60","665"
"P_942b2ae6","668"
"P_b0c459ab","345"
"P_346b221a","367"
"P_b8e54130","667"
"P_83dfd3b7","650"
"P_2f643975","552"
"P_799a1a04","549"
"P_b6b45f19","430"
"P_c2514a6a","396"
"P_9a46b373","566"
"P_c240d1e7","88"
"P_5529faa9","661"
"P_49d01ba3","351"
"P_0b6c9917","973"
"P_b623d54d","739"
"P_9aca53c9","312"
"P_e0b3ddb3","44"
"P_8f67cc31","456"
"P_66bbd406","986"
"P_c5e1a295","368"
"P_3f713f32","932"
"P_4554a573","501"
"P_6eb20249","850"
"P_99987a2e","890"
"P_5b5ae8b3","957"
"P_a30a8636","71"
"P_93324890","41"
"P_f177793f","80"
"P_89f34171","905"
"P_60e565a8","850"
"P_6856284c","618"
"P_ddfdc7f5","235"
"P_762e7f50","710"
"P_79f4d55b","737"
"P_e399689a","496"
"P_2aadeca6","281"
"P_fa9ae1b5","337"
"P_7dbfe563","963"
"P_4d4b0ec0","23"
"P_ac5d3cff","507"
"P_71bfd0b8","849"
"P_70e57919","379"
"P_7b22efd1","174"
"P_e3f16508","456"
"P_d36ec08e","505"
"P_3e4f8fc4","709"
"P_bbc8be86","588"
"P_a8b34a6d","14"
"P_ce63b91c","812"
"P_804a9bbb","238"
"P_a905ddb2","229"
"P_37e9066c","19"
"P_a90f2a6f","13"
"P_5090e5d4","639"
"P_dc7f3d4e","961"
"P_b28188e6","359"
"P_eb332d24","637"
"P_014be30b","641"
"P_49b6c2fa","572"
"P_d9be641d","762"
"P_62fd5a36","740"
"P_4af3f3b1","316"
"P_732c4757","901"
"P_be8089bf","307"
"P_c8df0c53","232"
"P_ba7a78cd","840"
"P_e500c68c","490"
"P_a3b0a1a0","72"
"P_959fb1de","559"
"P_f40f34eb","665"
"P_c7411d60","407"
"P_d5203163","353"
"P_91a0175e","809"
"P_c0e6cb03","206"
"P_d8adf2e4","635"
"P_94af17ba","584"
"P_7c7ea0e9","928"
"P_39e5a552","596"
"P_6b3bbce7","939"
"P_a474f11e","620"
"P_4279d575","235"
"P_0f0b570e","264"
"P_c2cbfe22","569"
"P_6045b285","157"
"P_1edb1ed0","787"
"P_39ec19d8","75"
"P_bdcce1cd","871"
"P_e84f84ee","599"
"P_ff6a9a20","442"
"P_08c463f2","546"
"P_fb66f18e","611"
"P_bc345238","840"
"P_fe7c45b5","175"
"P_ea2e2b9b","154"
"P_19038f22","732"
"P_0dc8b176","650"
"P_ef5204cc","394"
"P_35c895d8","16"
"P_0e1aad40","923"
"P_0d7e107d","560"
"P_f59a79d2","567"
"P_b5f71468","990"
"P_3b8d2382","370"
"P_e6f88ed6","185"
"P_95327ec1","98"
"P_25ff8eaf","725"
"P_38e6100e","85"
"P_8a714f13","629"
"P_80218828","407"
"P_beb8c50a","257"
"P_916d33fb","873"
"P_24f182fe","738"
"P_b66b192d","772"
"P_3998ea5a","312"
"P_8df10394","785"
"P_97247684","370"
"P_a43fceaa","366"
"P_89d6174d","184"
"P_f9ec9df2","700"
"P_b216f34f","375"
"P_d03a7b5b","311"
"P_f655337a","713"
"P_d8322e2d","370"
"P_e9f8b87e","482"
"P_d3a90c80","604"
"P_e3e7ed46","287"
"P_0600a03c","829"
"P_aa95f0fa","777"
"P_47679676","658"
"P_ba2549f3","298"
"P_735eac35","275"
"P_2ea77124","488"
"P_6d3c66a3","112"
"P_adda30cb","467"
"P_5bb16c1c","695"
"P_8dcdd61a","330"
"P_f58dba93","383"
"P_edd5a654","564"
"P_42bea018","815"
"P_6518eb96","754"
"P_8bc6fe1a","445"
"P_f312ddef","180"
"P_85de0590","218"
"P_8dc8c194","326"
"P_e19e302a","208"
"P_04c2e106","650"
"P_46f24521","786"
"P_2d10bacd","264"
"P_e533ae5b","763"
"P_c4106197","882"
"P_a4b890b7","921"
"P_c81ba465","574"
"P_1a322e53","627"
"P_1cec68b0","525"
"P_a70e15ae","51"
"P_3c89ede5","475"
"P_fa224f90","64"
"P_19818f71","625"
"P_fd933e55","996"
"P_d37a6b18","409"
"P_0d05c5ab","560"
"P_5344ed2b","905"
"P_518cbecf","21"
"P_b64fd65c","114"
"P_1bf091c2","491"
"P_f5ccf60c","722"
"P_a700e340","798"
"P_b8dcd5de","567"
"P_a20ca069","786"
"P_ecb3477e","76"
"P_8efc4754","196"
"P_eb434c4d","222"
"P_840d5bec","138"
"P_f86ed4a2","225"
"P_095b724c","424"
"P_1f597034","782"
"P_63a453c3","144"
"P_27e85536","340"
"P_c0e0c42e","776"
"P_cf50d25f","166"
"P_050b408f","292"
"P_7d360562","18"
"P_ec33a035","548"
"P_c324fd8f","124"
"P_c15cfb82","415"
"P_cff0eb01","195"
"P_8ed4e9c2","67"
"P_14b3a4f8","367"
"P_35c484f9","545"
"P_a57df84c","919"
"P_5af53605","767"
"P_5aaac982","581"
"P_d7bebd69","825"
"P_56257edb","957"
"P_e82ef65c","924"
"P_71578000","952"
"P_854cee69","212"
"P_78e411c3","783"
"P_aa85f822","868"
"P_2baac04d","431"
"P_f3c5b42c","537"
"P_47090b16","209"
"P_99c73252","71"
"P_be2383d3","701"
"P_dc59dab4","138"
"P_dcebd41c","752"
"P_17bda834","890"
"P_92396812","957"
"P_f6fba019","13"
"P_13753975","487"
"P_24066531","354"
"P_1f9075bf","742"
"P_f9fca3bc","286"
"P_53122e9c","523"
"P_21759e95","735"
"P_1b797c05","304"
"P_ee6f021a","799"
"P_cdb76874","462"
"P_ee250970","994"
"P_eb733773","687"
"P_83b2423c","257"
"P_3053c5f9","291"
"P_7b991853","604"
"P_d749c524","254"
"P_77924f80","525"
"P_d818d634","603"
"P_d8638515","987"
"P_1eac8eb0","13"
"P_06799667","725"
"P_db67021d","834"
"P_25cac3fb","961"
"P_6cd352a9","222"
"P_972439f7","881"
"P_691d7048","565"
"P_b992bddf","816"
"P_4f1d4a53","313"
"P_482a28f1","845"
"P_2555a4ed","54"
"P_3e03403c","596"
"P_4ac05407","340"
"P_efdcaa5f","120"
"P_399c2a7c","502"
"P_3e3be2cb","284"
"P_f8556c05","663"
"P_af2dc6f3","317"
"P_b1a5417d","102"
"P_ade5625d","566"
"P_72832f6c","131"
"P_8c7a2210","196"
"P_7f67abda","613"
"P_57fa3415","601"
"P_354cab2a","164"
"P_a2ab57eb","79"
"P_9dc0b8e4","682"
"P_31c881b4","118"
"P_f7344a52","919"
"P_84df4cf5","874"
"P_edff055d","391"
"P_348b1ca0","56"
"P_f81882c5","149"
"P_f9e8ea56","996"
"P_13282f81","799"
"P_252b1ff2","539"
"P_f61f2d7b","1"
"P_b2406fed","116"
"P_77a6d556","914"
"P_0c6e6d2e","93"
"P_60ef53b3","516"
"P_af9cdf66","322"
"P_e1bd078e","234"
"P_49fa319f","223"
"P_7fa4f4e8","913"
"P_ac82f830","283"
"P_d502975d","908"
"P_fc284c31","842"
"P_ab5548cc","178"
"P_9c59560c","417"
"P_9cc4596f","706"
"P_5b30d931","871"
"P_43aface4","891"
"P_17fe8f74","378"
"P_5845fed5","506"
"P_9efc0390","140"
"P_4966d64a","770"
"P_845dec67","299"
"P_38e44537","543"
"P_34d9ce6f","810"
"P_ba88d671","378"
"P_c6ac835f","695"
"P_8a074af8","376"
"P_803391dc","618"
"P_9f6a8c84","393"
"P_fb6240b1","343"
"P_5d741b8c","986"
"P_b971df7f","318"
"P_6caf23c0","460"
"P_9c04e2a0","303"
"P_a5c47c07","153"
"P_5685f255","721"
"P_15ec5d40","379"
"P_3455a7f5","596"
"P_f4d5eaad","396"
"P_fdc71a7d","343"
"P_71eafc4c","610"
"P_40d07032","329"
"P_59fcef47","763"
"P_519af5f1","439"
"P_01895a34","645"
"P_9ccfcd84","494"
"P_b76aa9a1","105"
"P_3193212d","476"
"P_f9387a5d","180"
"P_d39d326d","56"
"P_9a44030b","411"
"P_bb6b2f9e","239"
"P_50756420","734"
"P_8a2a27d8","689"
"P_64aaa7be","319"
"P_dade42f6","491"
"P_7e66e162","939"
"P_53bff64f","775"
"P_5c3f31dd","789"
"P_c192390a","452"
"P_a88dd18d","592"
"P_74c85514","844"
"P_6ee79941","121"
"P_6422621e","36"
"P_194b8c3b","513"
"P_fb1ec626","38"
"P_52ae508c","70"
"P_0a8d1184","640"
"P_d97561d9","549"
"P_f1b8b8e9","275"
"P_92f3c795","560"
"P_7b814d54","969"
"P_6a146c42","630"
"P_4eeba5b5","67"
"P_d24bf68e","16"
"P_e06c15c0","500"
"P_68687b0a","984"
"P_6786237c","538"
"P_eac828b7","143"
"P_bcc9a365","63"
"P_2dc3cb1c","709"
"P_48f54ac5","384"
"P_1b7aaeb8","524"
"P_68fa689a","415"
"P_2ddc70c3","112"
"P_1e13cfb2","42"
"P_64ebc9c6","55"
"P_61ccae79","812"
"P_d72975d9","641"
"P_acec588c","342"
"P_51636751","866"
"P_1e85c7d3","193"
"P_5a5d4db4","1"
"P_451a25f1","424"
"P_38d4ad80","636"
"P_2f0751d8","573"
"P_89fff31d","467"
"P_b89e0dbb","604"
"P_3a8eb232","149"
"P_95fb8596","459"
"P_a7e376c8","673"
"P_693a2c68","260"
"P_122b175c","679"
"P_a245557a","410"
"P_26fdba1c","401"
"P_9b9b2c58","932"
"P_9b33288d","794"
"P_36fa70ea","171"
"P_9d4227f3","135"
"P_8d856631","611"
"P_43f84bdc","508"
"P_2406beb1","841"
"P_ee27b4bf","959"
"P_2b8f777f","203"
"P_32fea06f","647"
"P_fe61bffd","40"
"P_e1947d4c","166"
"P_f7f8dc02","54"
"P_172cfa4a","996"
"P_88a12c2e","950"
"P_10fa6072","845"
"P_77361bf1","381"
"P_ee506c52","683"
"P_f14fa349","702"
"P_b21d6c5a","215"
"P_b93286f1","521"
"P_bf4c033e","574"
"P_dd515af6","119"
"P_e3d7198a","751"
"P_0ecca662","973"
"P_b50f0771","933"
"P_5c49707c","112"
"P_9b46ff8c","389"
"P_7d13cce5","276"
"P_f4eb8d89","920"
"P_6a24f317","471"
"P_d8846a31","171"
"P_909b2b2f","561"
"P_228a3c1c","39"
"P_64b08d0c","602"
"P_d304d8b6","94"
"P_6dd5b547","300"
"P_247b9562","970"
"P_7d48288c","496"
"P_609c9776","95"
"P_3b2f4a75","174"
"P_ad112a93","348"
"P_d2fcf7a9","993"
"P_a9480a8b","749"
"P_28e5608b","657"
"P_9906ee98","533"
"P_1cd963c1","705"
"P_cce71843","78"
"P_d95555b0","213"
"P_efee0e66","36"
"P_828e60e9","720"
"P_bf17062d","698"
"P_a4d88c44","703"
"P_b66fb533","883"
"P_997ad6be","310"
"P_b95a36ef","584"
"P_2bb653ed","321"
"P_c043e879","690"
"P_47743d06","177"
"P_290e5d98","447"
"P_5297d218","676"
"P_b31e4293","75"
"P_25d67494","356"
"P_bcbf3905","975"
"P_adbc8266","888"
"P_2588b33d","253"
"P_cb5ae0ee","53"
"P_264a06c3","583"
"P_fdbafc36","184"
"P_78f4142b","852"
"P_589c6891","48"
"P_da2c35f6","666"
"P_d732caac","538"
"P_6d5e65bc","598"
"P_2c931193","410"
"P_7bd18ffd","414"
"P_865314ab","864"
"P_7f3d6d47","270"
"P_61313d7a","327"
"P_ab769d45","441"
"P_96128334","315"
"P_c44c73be","257"
"P_5a214634","289"
"P_5c5c5f04","331"
"P_454437c6","307"
"P_2e0ffad4","366"
"P_817d8d3a","294"
"P_84a89acf","458"
"P_3699e099","182"
"P_0e91b3b0","437"
"P_9edf5c78","15"
"P_3a19f412","366"
"P_0c9c7727","140"
"P_1ef4781d","994"
"P_bc4368eb","413"
"P_a01faead","238"
"P_0625eca8","825"
"P_e9888a76","369"
"P_8066f65c","411"
"P_b5c06be9","990"
"P_47d3c40d","801"
"P_1937475c","635"
"P_826720ad","891"
"P_0ccbb994","431"
"P_e4b68348","475"
"P_9d83b6f2","330"
"P_95c96848","881"
"P_66b08fc3","598"
"P_f170bd54","269"
"P_3eedb745","197"
"P_7a8b2b89","212"
"P_0865fbbd","664"
"P_db12c423","790"
"P_fa3dfcc3","82"
"P_9833990f","116"
"P_68a9113e","329"
"P_2d469755","734"
"P_0e947cdf","146"
"P_3d7a8e5a","546"
"P_8d8063fe","593"
"P_213002a1","961"
"P_c5383e4b","223"
"P_2c5145e4","687"
"P_8fdb3fc8","361"
"P_a5bed3b7","183"
"P_02187c2b","978"
"P_c7ac96f9","463"
"P_beb35172","351"
"P_b2068e2b","449"
"P_5d3acd2b","123"
"P_5a4047c5","18"
"P_0b1fafe6","770"
"P_467cb314","30"
"P_d8029283","571"
"P_68ce3111","796"
"P_c524e1c9","149"
"P_3e492ae1","60"
"P_a3beb2ad","65"
"P_234e3c68","136"
"P_22ed8405","735"
"P_e560ec89","941"
"P_f2074cd7","930"
"P_00ce4668","551"
"P_29d54757","959"
"P_2b55fccc","247"
"P_535ae504","706"
"P_901ed727","78"
"P_29fad341","175"
"P_7607c6d3","733"
"P_f33f1a4c","369"
"P_4699d335","383"
"P_23729ada","380"
"P_0c93ff3b","78"
"P_e6590123","184"
"P_0e23334b","695"
"P_b4e03acc","253"
"P_9b04592d","469"
"P_13b2efb3","469"
"P_89054fd1","912"
"P_dd071de5","855"
"P_b153b3e9","934"
"P_dba653fc","197"
"P_a53b509e","405"
"P_7f8b7c3c","702"
"P_b873b586","433"
"P_e2066d6a","691"
"P_e4427248","73"
"P_369279e5","695"
"P_e66692b8","111"
"P_305148de","181"
"P_c0f6bb41","469"
"P_68bddf9e","978"
"P_64be9b28","600"
"P_eb57b275","594"
"P_a4ec1489","594"
"P_f105cf91","196"
"P_d0721072","179"
"P_6c777723","398"
"P_1fe4c335","430"
"P_145793d3","53"
"P_7b165501","368"
"P_e1f697c5","780"
"P_a1714fcf","922"
"P_5355d3db","308"
"P_9c44f93c","113"
"P_82e88bdf","296"
"P_bfd98555","927"
"P_2d5466a7","849"
"P_19856dff","153"
"P_ce4688fc","808"
"P_62b69495","458"
"P_ae290b85","592"
"P_55abe4f7","326"
"P_95d090fd","115"
"P_c4d8c03e","455"
"P_6a7bdfd9","926"
"P_0a49722d","126"
"P_7b0e6d8f","346"
"P_da2c0ec0","374"
"P_33df4133","200"
"P_aa6d2f7f","668"
"P_b1128bcc","629"
"P_17e3589b","56"
"P_98195b99","490"
"P_11096cf8","356"
"P_8023c594","631"
"P_bf9814ae","555"
"P_016a8a50","897"
"P_56dee69c","666"
"P_2cff826c","781"
"P_798f642b","599"
"P_1e42f218","133"
"P_d0a088b7","574"
"P_d0fef434","265"
"P_d1de0274","544"
"P_0cc92818","41"
"P_d402b664","397"
"P_dbfae868","311"
"P_f9c92812","890"
"P_2934a50e","606"
"P_5f23f194","875"
"P_eb302e44","823"
"P_8e03b16e","856"
"P_4b986053","316"
"P_984e69d2","298"
"P_f47aec9c","922"
"P_f3b18c3e","573"
"P_c31f6a71","261"
"P_8e0daef6","895"
"P_3352014a","165"
"P_f7f83288","821"
"P_a633c0dd","62"
"P_20fa7359","612"
"P_303743f6","698"
"P_1d61faa8","399"
"P_4d56a907","346"
"P_d9ce0d73","492"
"P_1e954abc","863"
"P_684027b1","277"
"P_098a8df6","840"
"P_5ac8125c","23"
"P_b92d2411","138"
"P_6c317dd9","317"
"P_e6a806e4","802"
"P_2fb5b855","513"
"P_c51f6db8","105"
"P_bad0cec8","792"
"P_1fab331f","238"
"P_48b1ac5a","547"
"P_6acd6857","699"
"P_bcd86937","146"
"P_c3c1ecf4","684"
"P_13a1e4f7","745"
"P_88fbc860","859"
"P_2cc79f35","874"
"P_493e2fa8","516"
"P_13156f1b","44"
"P_509c5195","529"
"P_8789289f","261"
"P_e372379c","265"
"P_65eb0c77","66"
"P_f078b72e","355"
"P_c8c50a1e","279"
"P_b6cab9d0","749"
"P_0597cc1a","720"
"P_bbc43d8f","474"
"P_07f773ff","329"
"P_e7d67485","492"
"P_c703cbeb","137"
"P_7a821b2e","795"
"P_91bc9064","612"
"P_a0649ff4","976"
"P_f049ce79","739"
"P_d459bf48","80"
"P_222b96f1","137"
"P_c5d6ff06","155"
"P_265d7862","389"
"P_f37df0ea","553"
"P_58aea22f","573"
"P_ad45a7f7","455"
"P_99407dc7","536"
"P_7d492b59","75"
"P_f3476c87","964"
"P_2060fe8d","133"
"P_1ba1fd7f","524"
"P_15befa88","518"
"P_d0f8db99","658"
"P_d7176006","870"
"P_f4064eed","227"
"P_ded14a0a","621"
"P_4f03b0bd","485"
"P_9233fe41","191"
"P_9927efa0","729"
"P_565df8a3","684"
"P_e58789e8","954"
"P_80fc6caa","511"
"P_82e3ad09","208"
"P_e73aa56f","540"
"P_e1d8ccdc","237"
"P_18e6f45f","957"
"P_553628ca","564"
"P_a0166c50","315"
"P_67654a0e","397"
"P_9a8bb30c","934"
"P_aad47e88","557"
"P_175a9e9a","841"
"P_77ac1aaa","495"
"P_0ae55cb0","255"
"P_b3d277d8","382"
"P_f176606c","554"
"P_054a8ed7","22"
"P_5e94276b","363"
"P_1ef5eac0","622"
"P_76b28bf9","275"
"P_5f055fac","445"
"P_39f9c4b6","282"
"P_68827b73","318"
"P_2be6177c","624"
"P_aaeceec8","292"
"P_901cc455","677"
"P_02709e30","910"
"P_849d8ba7","526"
"P_bffed83e","367"
"P_374ae587","30"
"P_5f46f350","948"
"P_b410aa21","439"
"P_c5445dcc","603"
"P_9276e6fc","854"
"P_1b4361be","550"
"P_849347d4","117"
"P_8ff03e3d","223"
"P_242ced3a","870"
"P_97e2a9b3","368"
"P_103fbc36","626"
"P_a524c0da","337"
"P_a684e4a6","813"
"P_4ffe7d03","431"
"P_2300a5e1","175"
"P_5794c85c","60"
"P_712b3380","966"
"P_16bf35bb","84"
"P_0cf403ed","748"
"P_5102b83f","784"
"P_975210da","250"
"P_cc54ed15","837"
"P_5a225c3e","15"
"P_adcf9abe","290"
"P_a8e70444","942"
"P_0ef32a10","619"
"P_61499a36","542"
"P_c154e7c9","745"
"P_52eb6aa6","486"
"P_c3c00bbf","59"
"P_fe7cb0d3","609"
"P_533a5a50","519"
"P_455507a5","363"
"P_7bda93c4","740"
"P_743b8006","709"
"P_59947bb9","284"
"P_90e92f2e","930"
"P_b446225c","467"
"P_3c4e5a18","415"
"P_77b5cbcf","444"
"P_03041259","294"
"P_aa02acef","72"
"P_ec43430a","840"
"P_f813e8a0","268"
"P_775f7dbc","13"
"P_48846ae8","614"
"P_119cc570","696"
"P_00f89e69","654"
"P_359f49f5","329"
"P_6e78538b","184"
"P_3a338aac","716"
"P_9a13e43e","34"
"P_ddba1138","788"
"P_bd852036","25"
"P_fd57102d","973"
"P_1802170d","752"
"P_b6582211","133"
"P_f7b1ed5b","937"
"P_b44ac1f4","298"
"P_279d40fb","645"
"P_fb2a1d9b","835"
"P_b259f9be","358"
"P_7dd6b0d1","737"
"P_328f54a3","50"
"P_2c01d0f2","734"
"P_e89f8541","296"
"P_ea284a14","884"
"P_43d24b54","221"
"P_a4f1f8c2","706"
"P_29e259c3","465"
"P_d200ac04","934"
"P_43b1358b","34"
"P_1a6a3537","312"
"P_571ff99a","4"
"P_0a3c531a","802"
"P_67d6fa9c","11"
"P_ecdf2c4a","269"
"P_5367008e","205"
"P_3a0cbe6d","535"
"P_3c25ca7d","236"
"P_6618f7b9","179"
"P_e4a827cf","29"
"P_ab9603d3","660"
"P_463cf467","846"
"P_497507e5","987"
"P_67978bb4","606"
"P_3a694f5f","870"
"P_64580a1a","718"
"P_26afd18f","982"
"P_29a37fea","517"
"P_b40fe445","717"
"P_14f9d338","831"
"P_e6a3a7e5","141"
"P_129c2ff0","736"
"P_9d2811c3","861"
"P_7ad76d09","426"
"P_ea922522","562"
"P_c6f82a49","812"
"P_02036e06","702"
"P_957ad2e9","436"
"P_d86a6365","815"
"P_df273213","901"
"P_4836c437","458"
"P_5f970f8c","980"
"P_43ad0508","655"
"P_e26a4b87","755"
"P_38eebc9c","347"
"P_65c1a20a","625"
"P_46c3d368","20"
"P_d350a907","601"
"P_c0af7e07","454"
"P_8d2feda0","909"
"P_79c38945","526"
"P_1e2d73cb","74"
"P_7d08fc9e","661"
"P_cc3b0e04","476"
"P_4f3de12c","419"
"P_ab07f390","1"
"P_5d1cace8","533"
"P_44de0bae","688"
"P_097564fd","931"
"P_7c0a114f","185"
"P_beda6a9a","695"
"P_393cbc86","763"
"P_ff9a3488","878"
"P_1b87cc6d","243"
"P_faf6f2fc","315"
"P_82dddd47","129"
"P_f4d3cb02","197"
"P_00e95fb6","566"
